Bisquick Baking Mix,baking mix
Jonshonville® Cajun Style Chicken Sausage,cajun style chicken sausage
Old El Paso Enchilada Sauce,enchilada sauce
Old El Paso Green Chiles,green chiles
Old El Paso™ refried beans,refried beans
Old El Paso™ chopped green chiles,chopped green chiles
Old El Paso™ taco seasoning mix,taco seasonig mix
Old El Paso™ Thick 'n Chunky salsa,thick chunky salsa
Old El Paso Flour Tortillas,flour tortillas
Old El Paso™ mild red enchilada sauce",mild red enchilada sauce
Mexican cheese blend,cheese blend
Pillsbury™ Refrigerated Crescent Dinner Rolls,refrigerated crescent dinner rolls
Philadelphia Cream Cheese,cream cheese
Pillsbury Thin Pizza Crust,thin pizza crust
shredded Monterey Jack cheese,shredded cheese
KRAFT Mexican Style 2% Milk Finely Shredded Four Cheese,mexican style finely shredded cheese
KRAFT Mexican Style Finely Shredded Four Cheese,mexican style finely shredded cheese
Kraft Extra Sharp Cheddar Cheese,extra sharp cheddar cheese
Kraft Grated Parmesan Cheese,grated parmesan cheese
TACO BELL® HOME ORIGINALS® Taco Seasoning Mix,taco seasoning mix
Taco Bell Taco Seasoning Mix,taco seasoning mix
Uncle Ben's Original Converted Brand rice,rice
Quorn Chik''n Tenders,chicken breast tenders
